	 label	comments	id
0	1	Résumé de ce qu'il faut retenir : pas grand chose.	1
1	0	les 48 min de death Stranding c'est le moment a oublier de cette tokyo game show !!!! d'ailleurs toujours pas de news pour dire que super smash bross sur switch a raflé presque tout les prix !!!!!! vive le journalisme ...... jeuxdesony.com	2
2	0	Ah c'est déjà passé ?	3
3	0	Ah c'est déjà passé ?	4
4	0	"Je me souviens m'être moqué d'UFC ya qq années dans la news annonçant le début de l'histoire 
Pour le coup chapeau à eux, je vois pas trop l'impact que ça aura mais c'est très très cool sur le principe"	5
5	0	"Je voie pas trop comment cela peu marcher : Que ce passe t-il si j'achete un jeu via marché gris (Instant Gaming, G2A, game planet (etc...) et que je ""revend"" le jeu plus chère qu'au prix ou je l'est acheté ?
J'ai mit ""revend"" entre guillemet car même si il instaures un système de badge qui permettrais d'avoir des réductions, on prend des jeux pas chère sur instant pour les revendre et obtenir des réduction de 10/20% sur des jeux a 60€ et on reste gagnant... Bref, je pense pas que cela ce tienne."	6
6	0	Si Steam met en place un système de revente de jeux similaire à celui des cartes/badges ça peut être bien pour les deux parties.	7
7	0	Ont peut enfin revendre nos comptes steam Volé dans les cyber LEGALEMENT !!!!	8
8	0	Je comprends pas, on va pouvoir revendre nos jeux steam sur ebay ? 	9
9	0	Déesse, les juges français qui s'attaquent enfin à la citadelle Steam et vont exactement dans le sens que j'ai toujours défendu depuis l'apparition de ces saletés de plates-formes de distribution numérique ! Oui, elles ne font que priver les joueurs de leurs droits, et c'est une excellente chose qu'un tribunal le reconnaisse enfin !	10
10	0	J ai un pote qui prend tout en demat même des éditions à 90 boules perso je ne comprends pas le concept... Moi une fois fini je revends chez mon leclerc multimédia (belles reprises d ailleurs) et je rachete un jeu neuf à 48 euros la bas (coucou micromania)...	11
11	0	Une décision qui va tuer les jeux et développeurs indépendants.	12
12	0	Il pourrait juste plus vous en vendre des jeux sa serait moins compliqué de vous bloquer.	13
13	0	La décision si confirmer en appel va être casser en cour de cassation pour une raison toute simple, le juge a considéré que Steam vendait des produits or il vend des licences d'utilisation et le contrat de licence permet l'interdiction de cession du droit.	14
14	0	Évidemment qu'ils vont faire appel  Mais bon c'est déjà une victoire en soit	15
15	0	"Excellente nouvelle. Surtout quand tu vois que des jeux demat sont aussi cher que la version physique voir meme plus cher. Et bien ca leur fera les pieds que les personnes puissent maintenant les revendre !
Allez il faudra que tout cela s'applique pour tout les launchers à l'avenir ! pc et store des consoles"	16
16	0	Carnbee ce genre de mec qui fait systématiquement bien les choses..  ça tranche avec Jay le samedi 	17
17	0	"Avec sa switch, nintendo tient un concept de gamme très intéressant.  En effet, il ne serait plus utile de sortir une nouvelle console différente, juste une réactualisation avec 3 modèles pour la console ""lite"", ""classique"" et ""pro"".  L'une totalement portable, l'autre hybride et la dernière plus hybride mais plus puissante. Un renouvellement en v2, 3, etc tous les 5 ans et on obtient une unification portable/hybride/salon sur une gamme d'un même produit."	18
18	0	Je n'ai pas de switch ni je n'ai pas de télé. Pourquoi je m'embêterai à m'acheter une switch classique ? N'oubliez pas que cette console ne s'adresse pas à vous, ceux qui on déjà la console de Nintendo, mais bien à ceux qui, comme moi,  n'ont pas encore sauté le pas....	19
19	0	"La prochaine étape c'est la Switch Lite XL.
Les nsex qui crieront au génie. "	20
