	 label	comments	id
0	1	La nouvelle s̩rie Netflix d̩voilera un groupe chr̩tien secret contr̫lant Washington	253
1	1	Un pays hyper croyant est dirig̩ par des croyants... Je suis sur le cul 	254
2	1	Les ch̩tiens, on peut les salir sans avoir peur de se faire assassiner, donc pas de soucis, ils peuvent y aller ! 	255
3	1	La nouvelle s̩rie Netflix d̩voilera un groupe chr̩tien secret contr̫lant Washington	256
4	1	Un pays hyper croyant est dirig̩ par des croyants... Je suis sur le cul 	257
5	1	Les ch̩tiens, on peut les salir sans avoir peur de se faire assassiner, donc pas de soucis, ils peuvent y aller ! 	258
6	1	La nouvelle s̩rie Netflix d̩voilera un groupe chr̩tien secret contr̫lant Washington	259
7	1	Un pays hyper croyant est dirig̩ par des croyants... Je suis sur le cul 	260
8	1	Les ch̩tiens, on peut les salir sans avoir peur de se faire assassiner, donc pas de soucis, ils peuvent y aller ! 	261
9	1	La nouvelle s̩rie Netflix d̩voilera un groupe chr̩tien secret contr̫lant Washington	262
10	1	Un pays hyper croyant est dirig̩ par des croyants... Je suis sur le cul 	263
11	1	Les ch̩tiens, on peut les salir sans avoir peur de se faire assassiner, donc pas de soucis, ils peuvent y aller ! 	264
12	1	La nouvelle s̩rie Netflix d̩voilera un groupe chr̩tien secret contr̫lant Washington	265
13	1	Un pays hyper croyant est dirig̩ par des croyants... Je suis sur le cul 	266
14	1	Les ch̩tiens, on peut les salir sans avoir peur de se faire assassiner, donc pas de soucis, ils peuvent y aller ! 	267
15	1	La nouvelle s̩rie Netflix d̩voilera un groupe chr̩tien secret contr̫lant Washington	268
16	1	Un pays hyper croyant est dirig̩ par des croyants... Je suis sur le cul 	269
17	1	Les ch̩tiens, on peut les salir sans avoir peur de se faire assassiner, donc pas de soucis, ils peuvent y aller ! 	270
18	1	La nouvelle s̩rie Netflix d̩voilera un groupe chr̩tien secret contr̫lant Washington	271
19	1	Un pays hyper croyant est dirig̩ par des croyants... Je suis sur le cul 	272
