	 label	comments	id
0	3	salut les gros lards ! voici un nouveau jeux qui pourrait plaire à vôtre corp volumineux et faiblir. je vous présente le nouveau jeu de nintendo (inséré titre) à vous la joie de vous ridiculisé en public en laissant la fenêtre ouverte. avec son nouveau gadget révolutionnaire à vous la joie des clubs sado maso de vôtre régions. Et si le jeu vous plais pas et que vôtre nouvelle accessoire est laissé dans vôtre placard. Alors donné une seconde vie en étranglant vôtre petite soeur insupportable. 	307
1	0	A voir la resistance de l'accessoir, mais je suis super Hypé! Ca peut être vraiment sympa en complément à d'autres activités physiques et entre potes	308
2	0	Vivement que j'essaye cette innovation avec ma Switch Lite... Oh wait !	309
3	0	79,99$ le prix va vite descendre comme pour le nintendocarton	310
4	0	"Le jour où ce sera prouvé scientifiquement qu'on arrive à avoir des résultats visibles et convaincants avec ce genre de matériel, les salles de sport fermeront.
En attendant, les salles de sport ont encore un bel avenir devant elles.
Et je ne parle de musculation / gonflette, mais de fitness, parce que je me trompe peut-être mais dans le titre du jeu il y a ""Fit"", qui fait référence à ""Fitness"" ?"	311
5	0	"BigN vous avez demandé de venir en sportwear JVC ou non ?!
J'vois trop tout ce p'tit monde en Pantalon Chemise entrain de bouger devant l'écran et repartir trempé  
Bref, super surprise ce jeu, day one pour nous  "	312
6	0	"Ça a l'air fun 
A voir le prix, je me laisserais peut-être tenter. Je n'ai pas vraiment besoin de faire du fitness mais le concept à l'air sympa."	313
7	0	NANNN PAS DU MOTION GAMING 	314
8	0	"Les présentation aseptisé de Nintendo  
On dirait un peu un monde utopique géré par des robots ou je ne sais quoi."	315
9	0	Cette présentation... on dirait le télé achat sur m6 boutique avec des acteurs pourris et un doublage foireux	316
10	0	Le doublage était nul mais le jeu a l'air complet en plus d'avoir un mode rapide et je viens juste de tilté que pour l'épreuve de course je peux cumulé du coup avec mon tapis de course au lieu de courir sur place.	317
11	0	Qu'on aime Nintendo ou pas, force est de constater que niveau innovation, ils sont toujours au top 	318
12	0	L'affiche on dirait celle d'un Avengers, Disney devrait porter plainte.	319
